key,instantiationMoment,title,message,email,link,username,fullName
notice-01,2000/01/01 00:00,a,a,claim1@acme.com,http://www.example.com,consumer1,"Consumer, Peter"
notice-02,2000/01/01 01:00,ab,ab,null,null,consumer1,"Consumer, Peter"
notice-03,2010/01/01 16:00,Title,Department,,,provider1,"Provider, Laurel"
notice-04,2022/07/29 23:59,75 characters..............................................................,100 characters......................................................................................,,,sponsor5,"Piedra, Pedro"
notice-05,2022/07/29 22:59,74 characters.............................................................,99 characters......................................................................................,,,client2,"Carrera, María"
notice-06,2022/07/29 22:00,New Title 1,Enhanced Message 1,notice6@acme.com,http://www.example2.com,developer1,"Pérez, Isais"
notice-07,2022/07/29 21:00,Innovative Title,Creative Message,notice7@acme.com,http://www.example3.com,manager2,"Del Valle, Francisco Jesús"
notice-08,2022/07/29 20:00,Exciting Title,Informative Message,notice8@acme.com,http://www.example4.com,auditor9,"Prueba, Auditor9"
notice-09,2022/07/29 19:00,Inspiring Title,Dynamic Message,notice9@acme.com,http://www.example5.com,administrator1,"Prueba, Administrator1"
notice-10,2022/07/29 18:00,Captivating Title,Engaging Message,notice10@acme.com,http://www.example6.com,consumer1,"Consumer, Peter"
