key,key:userAccount,name,benefits,webPage,email
sponsor-01,user-account-sponsor-01,Adrian,Bueno bonito barato,https://www.sponsorAdri.es/,adrian@gmail.com
sponsor-02,user-account-sponsor-02,Juanillo,Rapido como el rayo,https://www.sponsorJuan.es/,juanillo@gmail.com
sponsor-03,user-account-sponsor-03,N,Rapido como el rayo,https://www.sponsorJuan.es/,juanillo@gmail.com
sponsor-04,user-account-sponsor-04,Na,Rapido como el rayo,https://www.sponsorJuan.es/,juanillo@gmail.com
sponsor-05,user-account-sponsor-05,hxYJkQrfnWDlmgPOiAuLsveCbRHzTNpBExqIyV,Rapido como el rayo,https://www.sponsorJuan.es/,juanillo@gmail.com
sponsor-06,user-account-sponsor-06,zLfWxYKbySQzgkPIqyCxVrJXOAdhfMHRmeVUnlSZKTbBZvFNWeoGaiDusjcpRtE,Rapido como el rayo,https://www.sponsorJuan.es/,juanillo@gmail.com
sponsor-07,user-account-sponsor-07,JcRzKbxEwTPmYvLuAhFgOoQnVjISqHzWNXdDeCiGrlMtUpBkaoyZsfcVqeiwHtJRYKsdasdasda,Rapido como el rayo,https://www.sponsorJuan.es/,juanillo@gmail.com
sponsor-08,user-account-sponsor-08,Juanillo,n,https://www.sponsorJuan.es/,juanillo@gmail.com
sponsor-09,user-account-sponsor-09,Juanillo,Nakfasf,https://www.sponsorJuan.es/,juanillo@gmail.com
sponsor-10,user-account-sponsor-10,Juanillo,hxYJkQrfnWDlmgPOiAuLsveCbRHzTNpBExqIyV,https://www.sponsorJuan.es/,juanillo@gmail.com
sponsor-11,user-account-sponsor-11,Juanillo,zLfWxYKbySQzgkPIqyCxVrJXOAdhfMHRmeVUnlSZKTbBZvFNWeoGaiDusjcpRtE,https://www.sponsorJuan.es/,juanillo@gmail.com
sponsor-12,user-account-sponsor-12,Juanillo,JcRzKbxEwTPmYvLuAhFgOoQnVjISqHzWNXdDeCiGrlMtUpBkaoyZsfcVqeiwHtJRYKsdasdasda,https://www.sponsorJuan.es/,juanillo@gmail.com
sponsor-13,user-account-sponsor-13,Juanillo,Rápido como el rayo,http://www.sponsorJuan.es/,juanillo@gmail.es
sponsor-14,user-account-sponsor-14,Juanillo,Rápido como el rayo,https://www.sponsorJuan.es/,juanillo@hotmail.com
sponsor-15,user-account-sponsor-15,Juanillo,Rápido como el rayo,null,juanillo@gmail.com
sponsor-16,user-account-sponsor-16,Juanillo,Rápido como el rayo,,juanillo@gmail.com
sponsor-17,user-account-sponsor-17,Juanillo,Rápido como el rayo,https://www.google.com/search?q=url+de+254+caracteres&sca_esv=373b249675fd824a&sxsrf=ACQVn0_BaglrVRDQoGxu2gltIl7r6rpopg%3A1709827582366&ei=_uXpZdXbFb2B9u8PvPSw2AI&ved=0ahUKEwjV0rGNxOKEAxW9gP0HHTw6DCsQ4dUDCBA&uact=5&oq=url+de+254+caracteres&gs_lp=Egxnd3Mt,juanillo@gmail.com
sponsor-18,user-account-sponsor-18,Juanillo,Rápido como el rayo,https://github.com/users/maryycarrera/projects/2/views/1?filterQuery=assignee%3AAdrcabmar,juanillo@gmail.com
sponsor-19,user-account-sponsor-18,<h1>!</h1>,Rápido como el rayo,https://github.com/users/maryycarrera/projects/2/views/1?filterQuery=assignee%3AAdrcabmar,juanillo@gmail.com
sponsor-20,user-account-sponsor-18,'' or 'A'='A,Rápido como el rayo,https://github.com/users/maryycarrera/projects/2/views/1?filterQuery=assignee%3AAdrcabmar,juanillo@gmail.com
sponsor-21,user-account-sponsor-18,국민경제의 발전을,Rápido como el rayo,https://github.com/users/maryycarrera/projects/2/views/1?filterQuery=assignee%3AAdrcabmar,juanillo@gmail.com
sponsor-22,user-account-sponsor-18,Estaesunacadenadetextosinespacioscreadaespecíficamenener75caracteresexactos,Rápido como el rayo,https://github.com/users/maryycarrera/projects/2/views/1?filterQuery=assignee%3AAdrcabmar,juanillo@gmail.com
sponsor-23,user-account-sponsor-18,Juanillo,Rápido como el rayo,https://github.com/users/maryycarrera/projects/2/views/1?filterQuery=assignee%3AAdrcabmarqweqweqweqw,juanillo@gmail.com
sponsor-24,user-account-sponsor-18,Juanillo,Hola burnas*^,https://github.com/users/maryycarrera/projects/2/views/1?filterQuery=assignee%3AAdrcabmarqweqweqweq,juanillo@gmail.com
sponsor-25,user-account-sponsor-18,Estaesunacadenadetextosinespacioscreadaespecíficamenener74caracteresexacto,Rápido como el rayo,https://github.com/users/maryycarrera/projects/2/views/1?filterQuery=assignee%3AAdrcabmar,juanillo@gmail.com
sponsor-26,user-account-sponsor-18,Juanillo,Rápido como el rayo,http://www.lorem-ipsum.org,juanillo@gmail.com
sponsor-27,user-account-sponsor-18,Juanillo,Rápido como el rayo,ftp://a,juanillo@gmail.com
sponsor-28,user-account-sponsor-18,Juanillo,Rápido como el rayo,ftp://a.b,juanillo@gmail.com
sponsor-29,user-account-sponsor-18,Juanillo,Rápido como el rayo,http://example.org?a&b,juanillo@gmail.com
