key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-sponsor-01,true,"UserIdentity{name: 'Adrian', surname: 'Provider', email: 'adrcabmar@acme.com'}",sponsor1,sponsor1
user-account-sponsor-02,true,"UserIdentity{name: 'Juan', surname: 'Mason', email: 'nacho@acme.com'}",sponsor2,sponsor2
user-account-sponsor-03,true,"UserIdentity{name: 'Nacho', surname: 'Navia', email: 'nacho@acme.com'}",sponsor3,sponsor3
user-account-sponsor-04,true,"UserIdentity{name: 'Elena', surname: 'Solea', email: 'elena@gmail.com'}",sponsor4,sponsor4
user-account-sponsor-05,true,"UserIdentity{name: 'Pedro', surname: 'Piedra', email: 'pedro@gmail.com'}",sponsor5,sponsor5
user-account-sponsor-06,true,"UserIdentity{name: 'Luisa', surname: 'Kikeras', email: 'luisa@gmail.com'}",sponsor6,sponsor6
user-account-sponsor-07,true,"UserIdentity{name: 'Ricardo', surname: 'López', email: 'ricardo@gmail.com'}",sponsor7,sponsor7
user-account-sponsor-08,true,"UserIdentity{name: 'Ana', surname: 'Martínez', email: 'ana@gmail.com'}",sponsor8,sponsor8
user-account-sponsor-09,true,"UserIdentity{name: 'María', surname: 'García', email: 'maria@gmail.com'}",sponsor9,sponsor9
user-account-sponsor-10,true,"UserIdentity{name: 'Javier', surname: 'Sánchez', email: 'javier@gmail.com'}",sponsor10,sponsor10
user-account-sponsor-11,true,"UserIdentity{name: 'Carmen', surname: 'Fernández', email: 'carmen@gmail.com'}",sponsor11,sponsor11
user-account-sponsor-12,true,"UserIdentity{name: 'Carlos', surname: 'Rodríguez', email: 'carlos@gmail.com'}",sponsor12,sponsor12
user-account-sponsor-13,true,"UserIdentity{name: 'Lucía', surname: 'Pérez', email: 'lucia@gmail.com'}",sponsor13,sponsor13
user-account-sponsor-14,true,"UserIdentity{name: 'Miguel', surname: 'Gómez', email: 'miguel@gmail.com'}",sponsor14,sponsor14
user-account-sponsor-15,true,"UserIdentity{name: 'Ana', surname: 'Martínez', email: 'ana@hotmail.com'}",sponsor15,sponsor15
user-account-sponsor-16,true,"UserIdentity{name: 'Carlos', surname: 'López', email: 'carlos@yahoo.com'}",sponsor16,sponsor16
